iter	Passed	Remaining
0	9	59239
1	17	53322
2	24	49296
3	33	50425
4	41	50320
5	48	48116
6	53	45879
7	59	44311
8	63	42344
9	67	40571
10	71	39033
11	79	39671
12	87	40217
13	95	40760
14	103	41112
15	108	40444
16	116	40873
17	123	40915
18	131	41239
19	138	41448
20	146	41645
21	153	41645
22	160	41660
23	167	41787
24	175	41923
25	182	42026
26	192	42623
27	200	42759
28	208	42861
29	216	43019
30	223	43119
31	231	43163
32	239	43277
33	245	43118
34	253	43163
35	261	43331
36	268	43267
37	277	43522
38	287	43908
39	294	43951
40	302	43984
41	309	43970
42	315	43678
43	320	43443
44	327	43371
45	334	43259
46	339	43034
47	346	43019
48	354	43060
49	361	43075
50	371	43279
51	377	43203
52	385	43243
53	390	43006
54	394	42650
55	398	42321
56	402	41969
57	408	41803
58	414	41749
59	422	41780
60	428	41760
61	435	41723
62	443	41770
63	450	41792
64	458	41841
65	465	41814
66	472	41862
67	482	42061
68	489	42100
69	496	42042
70	503	42014
71	509	41942
72	516	41914
73	523	41947
74	530	41943
75	537	41889
76	544	41853
77	552	41975
78	560	42026
79	569	42127
80	579	42377
81	588	42466
82	594	42409
83	602	42441
84	610	42462
85	618	42525
86	625	42496
87	633	42534
88	640	42514
89	647	42535
90	655	42557
91	662	42572
92	670	42593
93	680	42756
94	688	42777
95	693	42665
96	701	42694
97	710	42782
98	715	42670
99	720	42520
100	726	42410
101	731	42323
102	737	42223
103	743	42146
104	750	42146
105	756	42043
106	762	41983
107	770	42051
108	779	42131
109	786	42127
110	793	42116
111	801	42142
112	808	42114
113	815	42114
114	823	42163
115	833	42263
116	840	42283
117	849	42347
118	857	42390
119	867	42505
120	877	42638
121	886	42693
122	894	42727
123	901	42736
124	909	42739
125	917	42761
126	925	42786
127	933	42809
128	940	42812
129	948	42819
130	955	42804
131	962	42806
132	973	42943
133	981	42948
134	988	42953
135	996	42969
136	1003	42937
137	1010	42944
138	1017	42920
139	1025	42925
140	1032	42888
141	1041	42946
142	1048	42930
143	1053	42829
144	1058	42735
145	1064	42675
146	1069	42597
147	1075	42516
148	1080	42435
149	1086	42378
150	1094	42389
151	1101	42395
152	1109	42396
153	1116	42366
154	1123	42367
155	1129	42314
156	1138	42363
157	1145	42371
158	1153	42374
159	1163	42478
160	1171	42471
161	1179	42492
162	1187	42506
163	1194	42491
164	1201	42502
165	1209	42492
166	1216	42489
167	1224	42496
168	1230	42468
169	1238	42470
170	1244	42437
171	1252	42435
172	1261	42479
173	1268	42458
174	1275	42449
175	1284	42489
176	1291	42499
177	1298	42465
178	1304	42423
179	1310	42375
180	1315	42307
181	1324	42325
182	1329	42268
183	1336	42235
184	1340	42150
185	1345	42051
186	1349	41940
187	1354	41872
188	1361	41872
189	1367	41812
190	1374	41795
191	1383	41862
192	1388	41791
193	1393	41707
194	1399	41653
195	1404	41599
196	1409	41514
197	1413	41417
198	1419	41393
199	1427	41388
200	1435	41422
201	1443	41426
202	1451	41451
203	1462	41543
204	1469	41554
205	1477	41548
206	1483	41520
207	1490	41493
208	1498	41508
209	1505	41518
210	1513	41523
211	1521	41530
212	1528	41519
213	1535	41503
214	1542	41493
215	1550	41527
216	1560	41577
217	1567	41566
218	1574	41557
219	1581	41562
220	1589	41567
221	1597	41579
222	1605	41583
223	1612	41584
224	1620	41597
225	1628	41600
226	1635	41601
227	1643	41615
228	1654	41682
229	1661	41691
230	1669	41693
231	1677	41701
232	1685	41711
233	1694	41748
234	1701	41752
235	1710	41788
236	1719	41813
237	1725	41778
238	1731	41744
239	1737	41703
240	1742	41640
241	1750	41646
242	1757	41644
243	1765	41647
244	1772	41632
245	1777	41584
246	1783	41538
247	1790	41537
248	1798	41538
249	1806	41547
250	1814	41552
251	1822	41566
252	1829	41550
253	1836	41536
254	1844	41566
255	1854	41607
256	1861	41599
257	1868	41586
258	1876	41585
259	1883	41581
260	1891	41580
261	1898	41577
262	1906	41576
263	1913	41576
264	1920	41566
265	1928	41580
266	1936	41580
267	1946	41622
268	1954	41632
269	1960	41605
270	1968	41609
271	1974	41583
272	1982	41583
273	1989	41582
274	1997	41591
275	2005	41589
276	2012	41574
277	2019	41566
278	2024	41506
279	2032	41519
280	2038	41493
281	2050	41568
282	2057	41559
283	2062	41520
284	2067	41459
285	2072	41406
286	2076	41337
287	2080	41262
288	2086	41234
289	2094	41236
290	2101	41234
291	2109	41237
292	2117	41253
293	2125	41253
294	2133	41255
295	2172	41858
296	2194	42132
297	2222	42529
298	2267	43226
299	2289	43491
300	2314	43812
301	2345	44247
302	2366	44488
303	2373	44479
304	2383	44514
305	2393	44529
306	2399	44493
307	2404	44436
308	2410	44392
309	2416	44350
310	2420	44276
311	2427	44247
312	2436	44275
313	2443	44248
314	2450	44231
315	2457	44201
316	2463	44166
317	2470	44147
318	2478	44146
319	2485	44123
320	2493	44113
321	2500	44091
322	2507	44080
323	2515	44061
324	2522	44049
325	2531	44060
326	2539	44064
327	2547	44052
328	2555	44041
329	2562	44024
330	2569	44013
331	2577	44004
332	2585	44000
333	2593	43991
334	2600	43975
335	2608	43970
336	2615	43957
337	2623	43949
338	2634	43995
339	2643	44006
340	2651	43999
341	2658	43988
342	2665	43969
343	2673	43959
344	2681	43949
345	2688	43939
346	2695	43907
347	2702	43898
348	2710	43887
349	2718	43876
350	2730	43938
351	2736	43902
352	2741	43851
353	2745	43793
354	2750	43730
355	2754	43665
356	2758	43605
357	2766	43596
358	2774	43588
359	2781	43579
360	2788	43558
361	2793	43500
362	2801	43500
363	2808	43489
364	2816	43480
365	2826	43502
366	2833	43497
367	2840	43475
368	2848	43474
369	2856	43465
370	2864	43458
371	2871	43440
372	2879	43435
373	2886	43422
374	2894	43414
375	2902	43408
376	2908	43383
377	2916	43375
378	2927	43418
379	2936	43423
380	2942	43402
381	2950	43393
382	2957	43368
383	2964	43358
384	2972	43349
385	2979	43339
386	2986	43319
387	2993	43296
388	3000	43281
389	3007	43267
390	3016	43270
391	3024	43272
392	3031	43253
393	3039	43245
394	3046	43233
395	3054	43225
396	3063	43233
397	3068	43196
398	3074	43158
399	3078	43102
400	3083	43048
401	3087	42997
402	3095	42985
403	3102	42973
404	3109	42961
405	3119	42976
406	3127	42979
407	3135	42973
408	3143	42965
409	3149	42940
410	3157	42932
411	3164	42915
412	3171	42906
413	3179	42897
414	3186	42890
415	3194	42879
416	3201	42862
417	3208	42844
418	3218	42871
419	3227	42882
420	3235	42874
421	3242	42865
422	3249	42845
423	3255	42817
424	3261	42786
425	3267	42750
426	3273	42728
427	3279	42699
428	3287	42694
429	3292	42652
430	3298	42619
431	3304	42591
432	3312	42582
433	3319	42568
434	3327	42565
435	3335	42565
436	3343	42562
437	3351	42553
438	3357	42534
439	3364	42511
440	3371	42504
441	3378	42486
442	3387	42497
443	3394	42472
444	3398	42429
445	3405	42406
446	3412	42387
447	3417	42346
448	3420	42291
449	3425	42246
450	3432	42231
451	3439	42212
452	3446	42204
453	3454	42196
454	3461	42188
455	3469	42181
456	3475	42160
457	3483	42152
458	3490	42141
459	3498	42132
460	3506	42136
461	3516	42157
462	3523	42142
463	3531	42137
464	3538	42121
465	3546	42112
466	3553	42104
467	3561	42096
468	3567	42075
469	3575	42066
470	3583	42062
471	3590	42046
472	3597	42035
473	3606	42045
474	3613	42035
475	3621	42027
476	3629	42019
477	3635	41998
478	3642	41985
479	3650	41979
480	3655	41947
481	3663	41938
482	3669	41920
483	3677	41910
484	3684	41892
485	3691	41882
486	3699	41874
487	3707	41881
488	3715	41873
489	3724	41886
490	3729	41844
491	3733	41798
492	3737	41748
493	3741	41701
494	3745	41652
495	3749	41607
496	3757	41600
497	3765	41601
498	3772	41585
499	3779	41578
500	3787	41570
501	3794	41562
502	3803	41570
503	3812	41576
504	3819	41563
505	3828	41568
506	3835	41552
507	3842	41543
508	3850	41537
509	3858	41530
510	3864	41516
511	3872	41512
512	3879	41497
513	3886	41482
514	3893	41472
515	3904	41492
516	3911	41482
517	3919	41475
518	3926	41466
519	3932	41446
520	3940	41437
521	3947	41421
522	3954	41414
523	3961	41400
524	3968	41389
525	3976	41383
526	3983	41366
527	3990	41358
528	4000	41373
529	4007	41365
530	4014	41346
531	4021	41337
532	4028	41323
533	4036	41314
534	4044	41316
535	4053	41321
536	4059	41301
537	4064	41269
538	4069	41230
539	4073	41188
540	4078	41155
541	4083	41122
542	4091	41113
543	4100	41126
544	4107	41112
545	4116	41114
546	4123	41104
547	4130	41098
548	4138	41091
549	4145	41081
550	4153	41073
551	4160	41066
552	4167	41051
553	4173	41029
554	4181	41023
555	4190	41031
556	4198	41032
557	4206	41023
558	4216	41042
559	4224	41038
560	4230	41019
561	4237	40998
562	4242	40972
563	4248	40945
564	4254	40925
565	4259	40898
566	4268	40898
567	4275	40889
568	4281	40867
569	4291	40879
570	4299	40875
571	4305	40860
572	4313	40854
573	4320	40836
574	4326	40821
575	4334	40813
576	4341	40806
577	4349	40796
578	4355	40783
579	4363	40772
580	4369	40750
581	4376	40744
582	4387	40770
583	4395	40766
584	4400	40733
585	4405	40701
586	4410	40674
587	4414	40635
588	4419	40597
589	4425	40576
590	4432	40569
591	4440	40562
592	4447	40553
593	4455	40545
594	4462	40538
595	4469	40529
596	4477	40523
597	4488	40543
598	4495	40536
599	4500	40503
600	4508	40501
601	4516	40494
602	4524	40495
603	4531	40487
604	4539	40480
605	4547	40475
606	4554	40468
607	4562	40464
608	4570	40458
609	4578	40452
610	4587	40464
611	4595	40455
612	4601	40440
613	4609	40437
614	4616	40418
615	4623	40409
616	4629	40393
617	4637	40384
618	4644	40377
619	4652	40370
620	4659	40362
621	4667	40355
622	4674	40346
623	4683	40351
624	4690	40339
625	4697	40325
626	4706	40330
627	4713	40316
628	4721	40317
629	4727	40292
630	4731	40259
631	4736	40226
632	4740	40192
633	4744	40154
634	4749	40125
635	4756	40116
636	4763	40105
637	4771	40100
638	4780	40104
639	4788	40099
640	4794	40081
641	4802	40076
642	4810	40074
643	4817	40067
644	4825	40063
645	4833	40057
646	4839	40039
647	4846	40031
648	4854	40021
649	4860	40004
650	4867	39994
651	4876	40002
652	4884	39994
653	4892	39988
654	4899	39980
655	4906	39967
656	4913	39959
657	4921	39951
658	4928	39947
659	4936	39940
660	4944	39934
661	4951	39925
662	4958	39917
663	4966	39911
664	4974	39908
665	4981	39893
666	4989	39890
667	4996	39882
668	5003	39873
669	5011	39868
670	5018	39856
671	5026	39849
672	5032	39837
673	5039	39825
674	5049	39833
675	5056	39822
676	5062	39802
677	5068	39783
678	5073	39760
679	5077	39725
680	5082	39695
681	5089	39688
682	5097	39680
683	5104	39672
684	5111	39660
685	5118	39646
686	5125	39637
687	5132	39631
688	5140	39626
689	5147	39613
690	5154	39605
691	5162	39599
692	5171	39603
693	5178	39591
694	5185	39583
695	5193	39578
696	5200	39565
697	5205	39541
698	5213	39535
699	5218	39512
700	5223	39481
701	5228	39455
702	5233	39431
703	5238	39408
704	5243	39378
705	5247	39348
706	5251	39314
707	5255	39278
708	5260	39253
709	5265	39231
710	5272	39218
711	5277	39196
712	5282	39170
713	5286	39139
714	5291	39111
715	5295	39079
716	5299	39047
717	5303	39013
718	5306	38978
719	5311	38948
720	5315	38919
721	5320	38893
722	5325	38866
723	5329	38836
724	5333	38806
725	5339	38791
726	5344	38765
727	5350	38749
728	5358	38746
729	5367	38750
730	5374	38740
731	5382	38733
732	5387	38709
733	5391	38678
