MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterCond,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,Neighborhood_mapped,rare_Exterior1st,rare_Exterior2nd,rare_Alley,rare_Condition1,rare_SaleType,rare_RoofStyle,rare_LotShape,rare_LandContour,rare_LandSlope,rare_Foundation,MasExist,AirCon,Electrical_SBrkr,Functional_Typ,GarageType_InHome,PavedDrive1,HasFence,MiscFeature1,SaleType_New_House,SaleCon_Normal,HasPool,Has2ndFloor,HasFireplace,total_Utility_Count,SqFtPerRoom,Total_Home_Quality,Product_Home_Quality,Total_Bathrooms,TotalSF,TotalPorchSF,YearBlRm,TotalExtQual,ProductExtQual,TotalBsmQual_And_Fin,TotalBsmQual,ProductBsmQual,TotalBsmFin,TotalGrgQual,ProductGrgQual,TotalQual,QualGr,QualPorch,QualExt,QualGrg,QlLivArea,QualSFNg,ProBsmQualPerTotFin,Age_YrBuilt,Age_YrRmd,Diff_YrRmd_YrBlt,Age_GarageYrBlt,Diff_GarYBlt_YrBlt,LivLotRatio,Spaciousness,GrArea+Basement,YrRemod*Basement,Count_OutSideSF,Rat_Out_Count,total_Area,Count_Areas,Rat_Areas_Count,total_Floors,Count_Floors,Rat_Floors_Count,Tot_Bsmt_per_Fin,OverallCond_Price_grade,space_Cluster,Areas_Cluster,Floors_Cluster,OutsideSF_Cluster,OverAll_QC_Cluster,YrBlt_Cluster,SalePrice,Predicted,is_train
60,RL,65.0,8450,CollgCr,1Fam,2Story,7,5,2003.0,2003.0,BrkFace,196.0,3,3,No,6,706.0,1,0.0,150.0,856.0,856,854,0,1710,1.0,0.0,2,1,3,1,8,0,0,Attchd,2003.0,RFn,2.0,548.0,3,Y,0,61,0,0,0,0,0,5,VinylSd,VinylSd,None,Norm,WD,Gable,Reg,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,0,1,0,1,0,8,142.5,12,35,3.5,2416.0,61,4006.0,7,12,14,7,12,7,6,9,43,73530,427,1372.0,3288.0,73530,367650,1.7142857142857142,5.0,5.0,0.0,5.0,0.0,0.20236686390532543,213.75,2566.0,1714568.0,1,61.0,11760.0,5,2352.0,1710,2,855.0,122.28571428571429,2,0,4,4,3,0,0,208500.0,207963.21395075205,Yes
20,RL,80.0,9600,Veenker,1Fam,1Story,6,8,1976.0,1976.0,None,0.0,3,3,Gd,5,978.0,1,0.0,284.0,1262.0,1262,0,0,1262,0.0,1.0,2,0,3,1,6,1,3,Attchd,1976.0,RFn,2.0,460.0,3,Y,298,0,0,0,0,0,0,7,MetalSd,MetalSd,None,RARE,WD,Gable,Reg,Lvl,Gtl,CBlock,0,1,1,1,1,1,0,0,0,1,0,0,1,6,140.22222222222223,14,48,2.5,2240.0,298,3952.0,6,9,13,7,12,6,6,9,39,49218,1788,0.0,2760.0,49218,344526,2.0,31.0,31.0,0.0,31.0,0.0,0.13145833333333334,210.33333333333334,2524.0,2493712.0,1,298.0,12584.0,4,3146.0,1262,1,1262.0,210.33333333333334,3,1,8,7,7,8,1,181500.0,184623.11678067813,Yes
60,RL,68.0,11250,CollgCr,1Fam,2Story,7,5,2001.0,2002.0,BrkFace,162.0,3,3,Mn,6,486.0,1,0.0,434.0,920.0,920,866,0,1786,1.0,0.0,2,1,3,1,6,1,3,Attchd,2001.0,RFn,2.0,608.0,3,Y,0,42,0,0,0,0,0,5,VinylSd,VinylSd,None,Norm,WD,Gable,IR1,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,0,1,0,1,1,8,178.6,12,35,3.5,2272.0,42,4003.0,7,12,14,7,12,7,6,9,43,76798,294,1134.0,3648.0,76798,383990,1.7142857142857142,7.0,6.0,1.0,7.0,0.0,0.15875555555555557,297.6666666666667,2706.0,1841840.0,1,42.0,14726.0,5,2945.2,1786,2,893.0,131.42857142857142,2,0,6,4,3,0,0,223500.0,218771.55445523193,Yes
70,RL,60.0,9550,Crawfor,1Fam,2Story,7,5,1915.0,1970.0,None,0.0,3,4,No,5,216.0,1,0.0,540.0,756.0,961,756,0,1717,1.0,0.0,1,0,3,1,7,1,4,Detchd,1998.0,Unf,3.0,642.0,3,Y,0,35,272,0,0,0,0,6,Wd Sdng,Wd Shng,None,Norm,WD,Gable,IR1,Lvl,Gtl,BrkTil,0,1,1,1,0,1,0,0,0,0,0,1,1,5,190.77777777777777,12,35,2.0,1933.0,307,3885.0,6,9,13,7,12,6,6,9,40,68680,1842,0.0,3852.0,68680,412080,2.0,91.0,36.0,55.0,8.0,83.0,0.17979057591623038,245.28571428571428,2473.0,1489320.0,2,153.5,12665.0,4,3166.25,1717,2,858.5,126.0,2,0,6,4,2,0,2,140000.0,153403.28288138655,Yes
60,RL,84.0,14260,NoRidge,1Fam,2Story,8,5,2000.0,2000.0,BrkFace,350.0,3,3,Av,6,655.0,1,0.0,490.0,1145.0,1145,1053,0,2198,1.0,0.0,2,1,4,1,9,1,3,Attchd,2000.0,RFn,3.0,836.0,3,Y,192,84,0,0,0,0,0,10,VinylSd,VinylSd,None,Norm,WD,Gable,IR1,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,0,1,0,1,1,8,169.07692307692307,13,40,3.5,2853.0,276,4000.0,7,12,14,7,12,7,6,9,44,96712,1932,2450.0,5016.0,96712,967120,1.7142857142857142,8.0,8.0,0.0,8.0,0.0,0.1541374474053296,244.22222222222223,3343.0,2290000.0,2,138.0,18789.0,5,3757.8,2198,2,1099.0,163.57142857142858,2,5,0,4,5,0,0,250000.0,288562.6042872777,Yes
50,RL,85.0,14115,Mitchel,1Fam,1.5Fin,5,5,1993.0,1995.0,None,0.0,3,3,No,6,732.0,1,0.0,64.0,796.0,796,566,0,1362,1.0,0.0,1,1,1,1,5,0,0,Attchd,1993.0,Unf,2.0,480.0,3,Y,40,30,0,320,0,0,700,4,VinylSd,VinylSd,None,Norm,WD,Gable,IR1,Lvl,Gtl,RARE,0,1,1,1,1,1,1,1,0,1,0,1,0,9,170.25,10,25,2.5,2094.0,390,3988.0,6,9,14,7,12,7,6,9,39,53118,2340,0.0,2880.0,53118,212472,1.7142857142857142,16.0,14.0,2.0,16.0,0.0,0.09649309245483528,272.4,2158.0,1588020.0,3,130.0,16753.0,4,4188.25,1362,2,681.0,113.71428571428571,2,8,1,3,9,6,0,143000.0,154348.1086416905,Yes
20,RL,75.0,10084,Somerst,1Fam,1Story,8,5,2004.0,2005.0,Stone,186.0,3,3,Av,6,1369.0,1,0.0,317.0,1686.0,1694,0,0,1694,1.0,0.0,2,0,3,1,7,1,4,Attchd,2004.0,RFn,2.0,636.0,3,Y,255,57,0,0,0,0,0,7,VinylSd,VinylSd,None,Norm,WD,Gable,Reg,Lvl,Gtl,PConc,1,1,1,1,1,1,0,0,0,1,0,0,1,7,169.4,13,40,3.0,3063.0,312,4009.0,7,12,15,8,15,7,6,9,45,76230,2184,1302.0,3816.0,76230,533610,2.142857142857143,3.0,2.0,1.0,3.0,0.0,0.16798889329631098,242.0,3380.0,3380430.0,2,156.0,14286.0,5,2857.2,1694,1,1694.0,240.85714285714286,2,4,0,1,5,3,0,307000.0,292686.6134510772,Yes
60,RL,86.0,10382,NWAmes,1Fam,2Story,7,6,1973.0,1973.0,Stone,240.0,3,3,Mn,5,859.0,4,32.0,216.0,1107.0,1107,983,0,2090,1.0,0.0,2,1,3,1,7,2,3,Attchd,1973.0,RFn,2.0,484.0,3,Y,235,204,228,0,0,0,350,5,HdBoard,HdBoard,None,RARE,WD,Gable,IR1,Lvl,Gtl,CBlock,1,1,1,1,1,1,0,1,0,1,0,1,1,9,190.0,13,42,3.5,2981.0,667,3946.0,6,9,16,7,12,9,6,9,43,89870,4002,1440.0,2904.0,89870,449350,1.3333333333333333,36.0,36.0,0.0,36.0,0.0,0.20130995954536698,298.57142857142856,3197.0,2184111.0,3,222.33333333333334,14303.0,5,2860.6,2090,2,1045.0,123.0,3,0,4,4,2,0,1,200000.0,211954.6492378209,Yes
50,RM,51.0,6120,OldTown,1Fam,1.5Fin,7,5,1931.0,1950.0,None,0.0,3,3,No,1,0.0,1,0.0,952.0,952.0,1022,752,0,1774,0.0,0.0,2,0,2,2,8,2,3,Detchd,1931.0,Unf,2.0,468.0,3,Y,90,0,205,0,0,0,0,2,BrkFace,Wd Shng,None,RARE,WD,Gable,Reg,Lvl,Gtl,BrkTil,0,1,0,0,0,1,0,0,0,0,0,1,1,3,147.83333333333334,12,35,2.0,1774.0,295,3881.0,6,9,8,6,9,2,5,6,33,58542,1770,0.0,2340.0,58542,117084,4.5,77.0,58.0,19.0,77.0,0.0,0.28986928104575166,221.75,2726.0,1856400.0,2,147.5,9314.0,4,2328.5,1774,2,887.0,476.0,2,0,6,4,2,9,2,129900.0,130742.99722001022,Yes
190,RL,50.0,7420,BrkSide,2fmCon,1.5Unf,5,6,1939.0,1950.0,None,0.0,3,3,No,6,851.0,1,0.0,140.0,991.0,1077,0,0,1077,1.0,0.0,1,0,2,2,5,2,3,Attchd,1939.0,RFn,1.0,205.0,3,Y,0,4,0,0,0,0,0,2,MetalSd,MetalSd,None,RARE,WD,Gable,Reg,Lvl,Gtl,BrkTil,0,1,1,1,1,1,0,0,0,1,0,0,1,6,134.625,11,30,2.0,1928.0,4,3889.0,6,9,13,6,9,7,7,12,39,42003,24,0.0,1435.0,42003,84006,1.2857142857142858,69.0,58.0,11.0,69.0,0.0,0.14514824797843665,215.4,2068.0,1932450.0,1,4.0,9693.0,4,2423.25,1077,1,1077.0,141.57142857142858,3,1,9,7,3,4,2,118000.0,119127.7448316564,Yes
