Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,total_Max_Porch_Area,total_Porch,Street_Alley,LotShape_LandContour,LotShape_LotConfig,LotShape_LandSlope,LotAreaPerFront,total_indoor_sqft,total_outdoor_sqft,total_in_out_sqft,in_per_out,area_per_finishes,no_finishes,no_finishes_perc,Condition1_Condition2,house_story,house_finish,YearBuilt_Age,Remodeled,YearRemodAdd_Age,YrBlt_YrRmd_Diff,YrSd_YrBlt,YrSd_YrRmd,Exterior1st_Exterior2nd,Foundation_MasVnrType,SaleCondition_SaleType,Bsmt_Unf_Per,Garage_per_Car_Cap,total_Ext_Ql_Cd,total_Bmt_Ql_Cd,total_Garage_Ql_Cd,total_Bmt_Fn_Area,Bsmt_Fsh_Per,avg_Ext_Qual,avg_Bmt_Qual,avg_Gar_Qual,total_All_Qualities,avg_All_Qualities,LivLotRatio,Spaciousness,PorchTypes,indoor_Cluster,outdoor_Cluster,in_out_Cluster,Ext_Q_Cd_Cluster,Bmt_Ql_Cd_Cluster,Bmt_F_A_Cluster,Gar_Q_Cd_Cluster,All_Q_Cluster,Cen_indoor_0,Cen_indoor_1,Cen_indoor_2,Cen_indoor_3,Cen_outdoor_0,Cen_outdoor_1,Cen_outdoor_2,Cen_outdoor_3,Cen_in_out_0,Cen_in_out_1,Cen_in_out_2,Cen_in_out_3,Cen_All_Q_0,Cen_All_Q_1,Cen_All_Q_2,Cen_All_Q_3,SalePrice
1,60,0,65.0,8450,0,-1,0,0,0,0,0,0,0,0,0,0,7,5,2003,2003,0,0,0,0,0,196.0,7,5,0,7,5,1,10.0,706.0,2.0,0.0,150.0,856.0,0,10,1,5.0,856,854,0,1710,1.0,0.0,2,1,3,1,7,8,10,0,-1,0,2003.0,3,2.0,548.0,5,5,3,0,61,0,0,0,0,0,0,-1,0,2,2008,0,0,61,61,0,0,0,0,130.0,4276.0,8998.0,13274.0,0.4752167148255168,inf,13274.0,1.0,0,2.0,1,8,0.0,8,0,5,5,0,0,0,0.8247663551401869,182.66666666666663,12,25.0,16,706.0,0.17523364485981308,6.0,5.0,4.0,59.0,5.363636363636363,0.20236686390532543,213.75,1,2,2,1,0,2,3,3,2,2.40144070740759,2.0942233227882534,0.5221118324435835,3.2937524853847737,1.4958142068443268,1.3852405150475366,0.23716118388789365,19.660669733821255,2.220828112158307,0.8031923788489675,3.2366905978504295,19.93579077474458,5.116284721612833,2.9447517885353953,1.8119462711938026,3.584923665595884,208500
2,20,0,80.0,9600,0,-1,0,0,0,1,0,1,1,0,0,1,6,8,1976,1976,0,0,1,1,1,0.0,5,5,1,7,5,4,5.0,978.0,2.0,0.0,284.0,1262.0,0,10,1,5.0,1262,0,0,1262,0.0,1.0,2,0,3,1,5,6,10,1,0,0,1976.0,3,2.0,460.0,5,5,3,298,0,0,0,0,0,0,0,-1,0,5,2007,0,0,298,298,0,0,1,0,120.0,3786.0,10060.0,13846.0,0.3763419483101392,inf,13846.0,1.0,1,1.0,1,35,0.0,35,0,31,31,1,1,0,0.7749603803486529,153.33333333333334,10,23.0,16,978.0,0.22503961965134706,5.0,4.6,4.0,58.6,5.327272727272726,0.13145833333333334,210.33333333333334,1,0,2,0,1,2,2,3,3,1.0729763672980535,3.4538387408744766,2.330932406323886,1.5159203356215318,1.1045387494894525,1.6617689794859134,0.2010840370598717,19.518597014308636,1.4385605672766355,2.7432071547161967,1.67607703249346,19.631443248951463,5.114609800143312,3.2455847894639756,3.6309818824537223,2.6723498926543026,181500
3,60,0,68.0,11250,0,-1,1,0,0,0,0,0,0,0,0,0,7,5,2001,2002,0,0,0,0,0,162.0,7,5,0,7,5,2,10.0,486.0,2.0,0.0,434.0,920.0,0,10,1,5.0,920,866,0,1786,1.0,0.0,2,1,3,1,7,6,10,1,0,0,2001.0,3,2.0,608.0,5,5,3,0,42,0,0,0,0,0,0,-1,0,9,2008,0,0,42,42,0,1,2,1,165.44117647058823,4492.0,11858.0,16350.0,0.3788159892055996,inf,16350.0,1.0,0,2.0,1,10,1.0,9,1,7,6,0,0,0,0.5282608695652173,202.66666666666663,12,26.0,16,486.0,0.4717391304347826,6.0,5.2,4.0,60.2,5.4727272727272736,0.15875555555555557,297.6666666666667,1,2,2,1,0,2,3,3,2,2.480434481451342,1.8387011936927466,0.7257455640180164,3.1448920748139684,1.819469992700625,0.9553947073483633,0.5473200942202794,19.308030109541725,2.4723795577687526,0.6090043113465575,3.037002342270851,19.556007295527728,5.270597983984426,3.504851211244597,0.8736922784560096,2.7664909488623404,223500
4,70,0,60.0,9550,0,-1,1,0,0,2,0,2,0,0,0,0,7,5,1915,1970,0,0,2,2,1,0.0,5,5,2,5,7,1,5.0,216.0,2.0,0.0,540.0,756.0,0,7,1,5.0,961,756,0,1717,1.0,0.0,1,0,3,1,7,7,10,1,1,1,1998.0,2,3.0,642.0,5,5,3,0,35,272,0,0,0,0,0,-1,0,2,2006,0,1,307,307,0,1,3,1,159.16666666666666,4190.0,10192.0,14382.0,0.4111067503924647,inf,14382.0,1.0,0,2.0,1,96,1.0,41,55,91,36,2,2,1,0.2857142857142857,160.5,10,20.0,14,216.0,0.7142857142857143,5.0,4.0,3.5,54.5,4.954545454545454,0.17979057591623038,245.28571428571428,2,2,2,1,1,3,0,1,3,2.207966849392862,2.121258699722676,0.44611938724245737,3.1279242165840704,1.9405267240166777,0.9661280511232924,0.6474179997351844,19.52664081180762,2.2917201453591667,0.9393485662431368,3.0347115557436513,19.781824425693777,4.626836084365089,3.0937838885582187,2.4175272224080877,1.693870175804419,140000
5,60,0,84.0,14260,0,-1,1,0,0,1,0,3,0,0,0,0,8,5,2000,2000,0,0,0,0,0,350.0,7,5,0,7,5,3,10.0,655.0,2.0,0.0,490.0,1145.0,0,10,1,5.0,1145,1053,0,2198,1.0,0.0,2,1,4,1,7,9,10,1,0,0,2000.0,3,3.0,836.0,5,5,3,192,84,0,0,0,0,0,0,-1,0,12,2008,0,0,276,276,0,1,1,1,169.76190476190476,5541.0,15096.0,20637.0,0.3670508744038156,inf,20637.0,1.0,0,2.0,1,11,0.0,11,0,8,8,0,0,0,0.5720524017467249,209.0,12,27.0,16,655.0,0.4279475982532751,6.0,5.4,4.0,61.4,5.581818181818181,0.1541374474053296,244.22222222222223,2,1,1,1,0,2,3,3,2,3.3723441048979943,0.6676223508967842,1.9058976423173624,3.1097110860993022,2.9390007240080105,0.2562864269093215,1.6692486937338895,18.972927426387976,3.9166813278750414,1.657653757315657,3.1733511718190313,19.176142874993236,5.579523933170109,3.89322828252133,0.9566288332452985,3.133271452508128,250000
6,50,0,85.0,14115,0,-1,1,0,0,0,0,4,0,0,0,2,5,5,1993,1995,0,0,0,0,1,0.0,5,5,2,7,5,1,10.0,732.0,2.0,0.0,64.0,796.0,0,10,1,5.0,796,566,0,1362,1.0,0.0,1,1,1,1,5,5,10,0,-1,0,1993.0,2,2.0,480.0,5,5,3,40,30,0,320,0,0,0,3,0,700,10,2009,0,0,390,390,0,1,2,1,166.05882352941177,3520.0,14595.0,18115.0,0.2411784857828023,inf,18115.0,1.0,0,1.5,1,18,1.0,16,2,16,14,0,2,0,0.9195979899497488,160.0,10,25.0,14,732.0,0.08040201005025126,5.0,5.0,3.5,53.5,4.863636363636363,0.09649309245483528,272.4,3,2,2,0,1,2,3,1,1,1.5767812993128467,2.941307901257998,0.5218670833909642,3.1928616138461337,1.408866046205727,1.422310315069506,0.6181487354032107,18.944601650274276,1.4943307390010059,1.69028759455509,3.17367057170778,19.250881526029833,4.409580997529739,2.018305514637069,3.454187202079042,3.218637285196538,143000
7,20,0,75.0,10084,0,-1,0,0,0,0,0,5,0,0,0,1,8,5,2004,2005,0,0,0,0,2,186.0,7,5,0,10,5,3,10.0,1369.0,2.0,0.0,317.0,1686.0,0,10,1,5.0,1694,0,0,1694,1.0,0.0,2,0,3,1,7,7,10,1,1,0,2004.0,3,2.0,636.0,5,5,3,255,57,0,0,0,0,0,0,-1,0,8,2007,0,0,312,312,0,0,0,0,134.45333333333335,5074.0,10720.0,15794.0,0.473320895522388,inf,15794.0,1.0,0,1.0,1,7,1.0,6,1,3,2,0,3,0,0.8119810201660735,212.0,12,30.0,16,1369.0,0.1880189798339265,6.0,6.0,4.0,62.0,5.636363636363638,0.16798889329631098,242.0,2,3,2,2,0,2,2,3,2,2.7429183704849955,3.281254142586692,3.43943608528474,0.2327212286170083,1.9208000244116734,0.938602044249018,0.6265920392955292,19.458312905295845,3.248028191765063,3.275505201381782,0.4216238997070022,19.47155453062394,5.926657240240049,4.404462285027216,1.4240901647855235,3.3120551010408175,307000
8,60,0,0.0,10382,0,-1,1,0,0,2,0,6,2,0,0,0,7,6,1973,1973,0,0,3,3,2,240.0,5,5,1,7,5,2,5.0,859.0,3.0,32.0,216.0,1107.0,0,10,1,5.0,1107,983,0,2090,1.0,0.0,2,1,3,1,5,7,10,2,0,0,1973.0,3,2.0,484.0,5,5,3,235,204,228,0,0,0,0,0,0,350,11,2009,0,0,667,667,0,1,3,1,0.0,5287.0,10866.0,16153.0,0.4865635928584576,inf,16153.0,1.0,2,2.0,1,38,0.0,38,0,36,36,3,3,0,0.8048780487804879,161.33333333333334,10,22.0,16,891.0,0.1951219512195122,5.0,4.4,4.0,58.4,5.3090909090909095,0.20130995954536698,298.57142857142856,3,1,2,1,1,3,3,3,3,3.0916561664606164,0.9355514241886129,1.616614380222153,2.994055697561723,1.234312460077331,1.519809892044588,0.16098911303495214,19.41759000832937,2.9021854584448064,0.5568941860701593,2.96842358521569,19.609546194324054,5.282334882970349,3.8823416102041564,3.14027633410467,2.2617591933194228,200000
9,50,1,51.0,6120,0,-1,0,0,0,0,0,7,3,0,0,2,7,5,1931,1950,0,0,4,2,1,0.0,5,5,2,5,5,1,2.0,0.0,2.0,0.0,952.0,952.0,0,7,1,4.0,1022,752,0,1774,0.0,0.0,2,0,2,2,5,8,8,2,0,1,1931.0,2,2.0,468.0,3,5,3,90,0,205,0,0,0,0,0,-1,0,4,2008,0,1,295,295,0,0,0,0,120.0,4500.0,6588.0,11088.0,0.6830601092896175,inf,11088.0,1.0,2,1.5,1,80,1.0,61,19,77,58,4,2,1,0.0,156.0,10,15.0,12,0.0,1.0,5.0,3.0,3.0,49.0,4.454545454545454,0.28986928104575166,221.75,2,2,2,1,1,3,0,1,3,2.2392377069293263,1.8014010477878164,0.7694266801514336,2.7861229040157394,1.1497099431274909,1.8595479614384984,0.43522238080052117,19.959069362941634,2.023900600004258,0.866078606259207,2.8739435315306574,20.150215370191344,3.7472588643429035,4.305417620508204,4.5553964585447195,3.091884231415931,129900
10,190,0,50.0,7420,0,-1,0,0,0,2,0,8,3,1,1,3,5,6,1939,1950,0,0,1,1,1,0.0,5,5,2,5,5,1,10.0,851.0,2.0,0.0,140.0,991.0,0,10,1,5.0,1077,0,0,1077,1.0,0.0,1,0,2,2,5,5,10,2,0,0,1939.0,3,1.0,205.0,7,5,3,0,4,0,0,0,0,0,0,-1,0,1,2008,0,0,4,4,0,0,4,0,148.4,3145.0,7625.0,10770.0,0.4124590163934426,inf,10770.0,1.0,2,1.5,0,72,1.0,61,11,69,58,1,2,0,0.858728557013118,102.5,10,23.0,18,851.0,0.14127144298688193,5.0,4.6,4.5,57.1,5.1909090909090905,0.14514824797843665,215.4,1,0,0,0,1,2,3,3,3,0.22757377783004915,3.7857789259773402,2.0466611395342493,2.349751963266117,0.1242035616279898,2.8625132391693673,1.401449944060216,19.853096209055206,0.9139835411264159,3.1977424620973,3.060730277181314,20.064382546652634,5.196217479784297,3.796668957860109,3.549772447719192,2.2819057524443753,118000
