Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,total_Max_Porch_Area,total_Porch,Street_Alley,LotShape_LandContour,LotShape_LotConfig,LotShape_LandSlope,LotAreaPerFront,total_indoor_sqft,total_outdoor_sqft,total_in_out_sqft,in_per_out,area_per_finishes,no_finishes,no_finishes_perc,Condition1_Condition2,house_story,house_finish,YearBuilt_Age,Remodeled,YearRemodAdd_Age,YrBlt_YrRmd_Diff,YrSd_YrBlt,YrSd_YrRmd,Exterior1st_Exterior2nd,Foundation_MasVnrType,SaleCondition_SaleType,Bsmt_Unf_Per,Garage_per_Car_Cap,total_Ext_Ql_Cd,total_Bmt_Ql_Cd,total_Garage_Ql_Cd,total_Bmt_Fn_Area,Bsmt_Fsh_Per,avg_Ext_Qual,avg_Bmt_Qual,avg_Gar_Qual,total_All_Qualities,avg_All_Qualities
1,60,RL,65.0,8450,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,7,5,PConc,7,5,1,10.0,706.0,2.0,0.0,150.0,856.0,GasA,10,1,5.0,856,854,0,1710,1.0,0.0,2,1,3,1,7,8,10,0,nan,Attchd,2003.0,3,2.0,548.0,5,5,3,0,61,0,0,0,0,0,0,nan,0,2,2008,WD,Normal,208500,61,61,Pave_nan,Reg_Lvl,Reg_Inside,Reg_Gtl,130.0,4276.0,8998.0,13274.0,0.4752167148255168,inf,13274.0,1.0,Norm_Norm,2.0,1,8,0.0,8,0,5,5,VinylSd_VinylSd,PConc_BrkFace,Normal_WD,0.8247663551401869,182.66666666666666,12,25.0,16,706.0,0.17523364485981308,6.0,5.0,4.0,59.0,5.363636363636363
2,20,RL,80.0,9600,Pave,nan,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,CBlock,7,5,4,5.0,978.0,2.0,0.0,284.0,1262.0,GasA,10,1,5.0,1262,0,0,1262,0.0,1.0,2,0,3,1,5,6,10,1,TA,Attchd,1976.0,3,2.0,460.0,5,5,3,298,0,0,0,0,0,0,0,nan,0,5,2007,WD,Normal,181500,298,298,Pave_nan,Reg_Lvl,RARE,Reg_Gtl,120.0,3786.0,10060.0,13846.0,0.3763419483101392,inf,13846.0,1.0,Feedr_Norm,1.0,1,35,0.0,35,0,31,31,MetalSd_MetalSd,CBlock_None,Normal_WD,0.7749603803486529,153.33333333333334,10,23.0,16,978.0,0.22503961965134706,5.0,4.6,4.0,58.6,5.327272727272727
3,60,RL,68.0,11250,Pave,nan,IReg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,7,5,PConc,7,5,2,10.0,486.0,2.0,0.0,434.0,920.0,GasA,10,1,5.0,920,866,0,1786,1.0,0.0,2,1,3,1,7,6,10,1,TA,Attchd,2001.0,3,2.0,608.0,5,5,3,0,42,0,0,0,0,0,0,nan,0,9,2008,WD,Normal,223500,42,42,Pave_nan,IReg_Lvl,IReg_Inside,IReg_Gtl,165.44117647058823,4492.0,11858.0,16350.0,0.3788159892055996,inf,16350.0,1.0,Norm_Norm,2.0,1,10,1.0,9,1,7,6,VinylSd_VinylSd,PConc_BrkFace,Normal_WD,0.5282608695652173,202.66666666666666,12,26.0,16,486.0,0.4717391304347826,6.0,5.2,4.0,60.2,5.472727272727273
4,70,RL,60.0,9550,Pave,nan,IReg,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,RARE,None,0.0,5,5,RARE,5,7,1,5.0,216.0,2.0,0.0,540.0,756.0,GasA,7,1,5.0,961,756,0,1717,1.0,0.0,1,0,3,1,7,7,10,1,Gd,Detchd,1998.0,2,3.0,642.0,5,5,3,0,35,272,0,0,0,0,0,nan,0,2,2006,WD,RARE,140000,307,307,Pave_nan,IReg_Lvl,IReg_Corner,IReg_Gtl,159.16666666666666,4190.0,10192.0,14382.0,0.4111067503924647,inf,14382.0,1.0,Norm_Norm,2.0,1,96,1.0,41,55,91,36,RARE,RARE_None,RARE_WD,0.2857142857142857,160.5,10,20.0,14,216.0,0.7142857142857143,5.0,4.0,3.5,54.5,4.954545454545454
5,60,RL,84.0,14260,Pave,nan,IReg,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,7,5,PConc,7,5,3,10.0,655.0,2.0,0.0,490.0,1145.0,GasA,10,1,5.0,1145,1053,0,2198,1.0,0.0,2,1,4,1,7,9,10,1,TA,Attchd,2000.0,3,3.0,836.0,5,5,3,192,84,0,0,0,0,0,0,nan,0,12,2008,WD,Normal,250000,276,276,Pave_nan,IReg_Lvl,RARE,IReg_Gtl,169.76190476190476,5541.0,15096.0,20637.0,0.36705087440381556,inf,20637.0,1.0,Norm_Norm,2.0,1,11,0.0,11,0,8,8,VinylSd_VinylSd,PConc_BrkFace,Normal_WD,0.5720524017467249,209.0,12,27.0,16,655.0,0.4279475982532751,6.0,5.4,4.0,61.4,5.581818181818182
6,50,RL,85.0,14115,Pave,nan,IReg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,5,RARE,7,5,1,10.0,732.0,2.0,0.0,64.0,796.0,GasA,10,1,5.0,796,566,0,1362,1.0,0.0,1,1,1,1,5,5,10,0,nan,Attchd,1993.0,2,2.0,480.0,5,5,3,40,30,0,320,0,0,0,3,Shed,700,10,2009,WD,Normal,143000,390,390,Pave_nan,IReg_Lvl,IReg_Inside,IReg_Gtl,166.05882352941177,3520.0,14595.0,18115.0,0.24117848578280232,inf,18115.0,1.0,Norm_Norm,1.5,1,18,1.0,16,2,16,14,VinylSd_VinylSd,RARE_None,Normal_WD,0.9195979899497487,160.0,10,25.0,14,732.0,0.08040201005025126,5.0,5.0,3.5,53.5,4.863636363636363
7,20,RL,75.0,10084,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,RARE,186.0,7,5,PConc,10,5,3,10.0,1369.0,2.0,0.0,317.0,1686.0,GasA,10,1,5.0,1694,0,0,1694,1.0,0.0,2,0,3,1,7,7,10,1,Gd,Attchd,2004.0,3,2.0,636.0,5,5,3,255,57,0,0,0,0,0,0,nan,0,8,2007,WD,Normal,307000,312,312,Pave_nan,Reg_Lvl,Reg_Inside,Reg_Gtl,134.45333333333335,5074.0,10720.0,15794.0,0.47332089552238804,inf,15794.0,1.0,Norm_Norm,1.0,1,7,1.0,6,1,3,2,VinylSd_VinylSd,RARE,Normal_WD,0.8119810201660735,212.0,12,30.0,16,1369.0,0.18801897983392646,6.0,6.0,4.0,62.0,5.636363636363637
8,60,RL,,10382,Pave,nan,IReg,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,RARE,240.0,5,5,CBlock,7,5,2,5.0,859.0,3.0,32.0,216.0,1107.0,GasA,10,1,5.0,1107,983,0,2090,1.0,0.0,2,1,3,1,5,7,10,2,TA,Attchd,1973.0,3,2.0,484.0,5,5,3,235,204,228,0,0,0,0,0,Shed,350,11,2009,WD,Normal,200000,667,667,Pave_nan,IReg_Lvl,IReg_Corner,IReg_Gtl,,5287.0,10866.0,16153.0,0.48656359285845757,inf,16153.0,1.0,RARE,2.0,1,38,0.0,38,0,36,36,HdBoard_HdBoard,RARE,Normal_WD,0.8048780487804879,161.33333333333334,10,22.0,16,891.0,0.1951219512195122,5.0,4.4,4.0,58.4,5.309090909090909
9,50,RM,51.0,6120,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,RARE,RARE,None,0.0,5,5,RARE,5,5,1,2.0,0.0,2.0,0.0,952.0,952.0,GasA,7,1,4.0,1022,752,0,1774,0.0,0.0,2,0,2,2,5,8,8,2,TA,Detchd,1931.0,2,2.0,468.0,3,5,3,90,0,205,0,0,0,0,0,nan,0,4,2008,WD,RARE,129900,295,295,Pave_nan,Reg_Lvl,Reg_Inside,Reg_Gtl,120.0,4500.0,6588.0,11088.0,0.6830601092896175,inf,11088.0,1.0,RARE,1.5,1,80,1.0,61,19,77,58,RARE_RARE,RARE_None,RARE_WD,0.0,156.0,10,15.0,12,0.0,1.0,5.0,3.0,3.0,49.0,4.454545454545454
10,190,RL,50.0,7420,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,RARE,5,5,1,10.0,851.0,2.0,0.0,140.0,991.0,GasA,10,1,5.0,1077,0,0,1077,1.0,0.0,1,0,2,2,5,5,10,2,TA,Attchd,1939.0,3,1.0,205.0,7,5,3,0,4,0,0,0,0,0,0,nan,0,1,2008,WD,Normal,118000,4,4,Pave_nan,Reg_Lvl,Reg_Corner,Reg_Gtl,148.4,3145.0,7625.0,10770.0,0.4124590163934426,inf,10770.0,1.0,RARE,1.5,0,72,1.0,61,11,69,58,MetalSd_MetalSd,RARE_None,Normal_WD,0.858728557013118,102.5,10,23.0,18,851.0,0.14127144298688193,5.0,4.6,4.5,57.1,5.190909090909091
