Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,total_Max_Porch_Area,total_Porch
1,60,RL,65.0,8450,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,7,5,PConc,7,5,1,10.0,706.0,2.0,0.0,150.0,856.0,GasA,10,1,5.0,856,854,0,1710,1.0,0.0,2,1,3,1,7,8,10,0,nan,Attchd,2003.0,3,2.0,548.0,5,5,3,0,61,0,0,0,0,0,0,nan,0,2,2008,WD,Normal,208500,61,61
2,20,RL,80.0,9600,Pave,nan,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,CBlock,7,5,4,5.0,978.0,2.0,0.0,284.0,1262.0,GasA,10,1,5.0,1262,0,0,1262,0.0,1.0,2,0,3,1,5,6,10,1,TA,Attchd,1976.0,3,2.0,460.0,5,5,3,298,0,0,0,0,0,0,0,nan,0,5,2007,WD,Normal,181500,298,298
3,60,RL,68.0,11250,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,7,5,PConc,7,5,2,10.0,486.0,2.0,0.0,434.0,920.0,GasA,10,1,5.0,920,866,0,1786,1.0,0.0,2,1,3,1,7,6,10,1,TA,Attchd,2001.0,3,2.0,608.0,5,5,3,0,42,0,0,0,0,0,0,nan,0,9,2008,WD,Normal,223500,42,42
4,70,RL,60.0,9550,Pave,nan,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,5,5,BrkTil,5,7,1,5.0,216.0,2.0,0.0,540.0,756.0,GasA,7,1,5.0,961,756,0,1717,1.0,0.0,1,0,3,1,7,7,10,1,Gd,Detchd,1998.0,2,3.0,642.0,5,5,3,0,35,272,0,0,0,0,0,nan,0,2,2006,WD,Abnorml,140000,307,307
5,60,RL,84.0,14260,Pave,nan,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,7,5,PConc,7,5,3,10.0,655.0,2.0,0.0,490.0,1145.0,GasA,10,1,5.0,1145,1053,0,2198,1.0,0.0,2,1,4,1,7,9,10,1,TA,Attchd,2000.0,3,3.0,836.0,5,5,3,192,84,0,0,0,0,0,0,nan,0,12,2008,WD,Normal,250000,276,276
6,50,RL,85.0,14115,Pave,nan,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,5,Wood,7,5,1,10.0,732.0,2.0,0.0,64.0,796.0,GasA,10,1,5.0,796,566,0,1362,1.0,0.0,1,1,1,1,5,5,10,0,nan,Attchd,1993.0,2,2.0,480.0,5,5,3,40,30,0,320,0,0,0,3,Shed,700,10,2009,WD,Normal,143000,390,390
7,20,RL,75.0,10084,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,7,5,PConc,10,5,3,10.0,1369.0,2.0,0.0,317.0,1686.0,GasA,10,1,5.0,1694,0,0,1694,1.0,0.0,2,0,3,1,7,7,10,1,Gd,Attchd,2004.0,3,2.0,636.0,5,5,3,255,57,0,0,0,0,0,0,nan,0,8,2007,WD,Normal,307000,312,312
8,60,RL,,10382,Pave,nan,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,5,5,CBlock,7,5,2,5.0,859.0,3.0,32.0,216.0,1107.0,GasA,10,1,5.0,1107,983,0,2090,1.0,0.0,2,1,3,1,5,7,10,2,TA,Attchd,1973.0,3,2.0,484.0,5,5,3,235,204,228,0,0,0,0,0,Shed,350,11,2009,WD,Normal,200000,667,667
9,50,RM,51.0,6120,Pave,nan,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,5,5,BrkTil,5,5,1,2.0,0.0,2.0,0.0,952.0,952.0,GasA,7,1,4.0,1022,752,0,1774,0.0,0.0,2,0,2,2,5,8,8,2,TA,Detchd,1931.0,2,2.0,468.0,3,5,3,90,0,205,0,0,0,0,0,nan,0,4,2008,WD,Abnorml,129900,295,295
10,190,RL,50.0,7420,Pave,nan,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,5,5,BrkTil,5,5,1,10.0,851.0,2.0,0.0,140.0,991.0,GasA,10,1,5.0,1077,0,0,1077,1.0,0.0,1,0,2,2,5,5,10,2,TA,Attchd,1939.0,3,1.0,205.0,7,5,3,0,4,0,0,0,0,0,0,nan,0,1,2008,WD,Normal,118000,4,4
