MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Hip,RoofStyle_Rare_roof,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_RARE,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_RARE,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,MasVnrType_None,MasVnrType_RARE,Foundation_PConc,Foundation_RARE,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_Po,FireplaceQu_TA,GarageType_BuiltIn,GarageType_Detchd,GarageType_RARE,SaleType_RARE,SaleType_WD,SaleCondition_Partial,SaleCondition_RARE,Street_Alley_Pave_Grvl,Street_Alley_Pave_Pave,Street_Alley_Pave_nan,LotShape_LandContour_IReg_HLS,LotShape_LandContour_IReg_Low,LotShape_LandContour_IReg_Lvl,LotShape_LandContour_Reg_Bnk,LotShape_LandContour_Reg_HLS,LotShape_LandContour_Reg_Low,LotShape_LandContour_Reg_Lvl,LotShape_LotConfig_IReg_Inside,LotShape_LotConfig_RARE,LotShape_LotConfig_Reg_Corner,LotShape_LotConfig_Reg_Inside,LotShape_LandSlope_RARE,LotShape_LandSlope_Reg_Gtl,Condition1_Condition2_Norm_Norm,Condition1_Condition2_RARE,Exterior1st_Exterior2nd_MetalSd_MetalSd,Exterior1st_Exterior2nd_Plywood_Plywood,Exterior1st_Exterior2nd_RARE,Exterior1st_Exterior2nd_RARE_RARE,Exterior1st_Exterior2nd_VinylSd_VinylSd,Exterior1st_Exterior2nd_Wd Sdng_Wd Sdng,Foundation_MasVnrType_CBlock_None,Foundation_MasVnrType_PConc_BrkFace,Foundation_MasVnrType_PConc_None,Foundation_MasVnrType_RARE,Foundation_MasVnrType_RARE_None,SaleCondition_SaleType_Partial_New,SaleCondition_SaleType_RARE,SaleCondition_SaleType_RARE_WD,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,SalePrice,total_Max_Porch_Area,total_Porch,LotAreaPerFront,total_indoor_sqft,total_outdoor_sqft,total_in_out_sqft,in_per_out,no_finishes,no_finishes_perc,house_story,house_finish,YearBuilt_Age,Remodeled,YearRemodAdd_Age,YrBlt_YrRmd_Diff,YrSd_YrBlt,YrSd_YrRmd,Bsmt_Unf_Per,Garage_per_Car_Cap,total_Ext_Ql_Cd,total_Bmt_Ql_Cd,total_Garage_Ql_Cd,total_Bmt_Fn_Area,Bsmt_Fsh_Per,avg_Ext_Qual,avg_Bmt_Qual,avg_Gar_Qual,total_All_Qualities,avg_All_Qualities,kfold
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,60,65.0,8450,7,5,196.0,7,5,7,5,1,10.0,706.0,2.0,0.0,150.0,856.0,10,1,5.0,856,854,0,1710,1.0,0.0,2,1,3,1,7,8,10,0,2003.0,3,2.0,548.0,5,5,3,0,61,0,0,0,0,0,0,0,2,208500,61,61,130.0,4276.0,8998.0,13274.0,0.4752167148255168,13274.0,1.0,2.0,1,8,0.0,8,0,5,5,0.8247663551401869,182.66666666666663,12,25.0,16,706.0,0.17523364485981308,6.0,5.0,4.0,59.0,5.363636363636363,-1
0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20,80.0,9600,6,8,0.0,5,5,7,5,4,5.0,978.0,2.0,0.0,284.0,1262.0,10,1,5.0,1262,0,0,1262,0.0,1.0,2,0,3,1,5,6,10,1,1976.0,3,2.0,460.0,5,5,3,298,0,0,0,0,0,0,0,0,5,181500,298,298,120.0,3786.0,10060.0,13846.0,0.3763419483101392,13846.0,1.0,1.0,1,35,0.0,35,0,31,31,0.7749603803486529,153.33333333333334,10,23.0,16,978.0,0.22503961965134706,5.0,4.6,4.0,58.6,5.327272727272726,-1
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,60,68.0,11250,7,5,162.0,7,5,7,5,2,10.0,486.0,2.0,0.0,434.0,920.0,10,1,5.0,920,866,0,1786,1.0,0.0,2,1,3,1,7,6,10,1,2001.0,3,2.0,608.0,5,5,3,0,42,0,0,0,0,0,0,0,9,223500,42,42,165.44117647058823,4492.0,11858.0,16350.0,0.3788159892055996,16350.0,1.0,2.0,1,10,1.0,9,1,7,6,0.5282608695652173,202.66666666666663,12,26.0,16,486.0,0.4717391304347826,6.0,5.2,4.0,60.2,5.4727272727272736,-1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,70,60.0,9550,7,5,0.0,5,5,5,7,1,5.0,216.0,2.0,0.0,540.0,756.0,7,1,5.0,961,756,0,1717,1.0,0.0,1,0,3,1,7,7,10,1,1998.0,2,3.0,642.0,5,5,3,0,35,272,0,0,0,0,0,0,2,140000,307,307,159.16666666666666,4190.0,10192.0,14382.0,0.4111067503924647,14382.0,1.0,2.0,1,96,1.0,41,55,91,36,0.2857142857142857,160.5,10,20.0,14,216.0,0.7142857142857143,5.0,4.0,3.5,54.5,4.954545454545454,-1
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,60,84.0,14260,8,5,350.0,7,5,7,5,3,10.0,655.0,2.0,0.0,490.0,1145.0,10,1,5.0,1145,1053,0,2198,1.0,0.0,2,1,4,1,7,9,10,1,2000.0,3,3.0,836.0,5,5,3,192,84,0,0,0,0,0,0,0,12,250000,276,276,169.76190476190476,5541.0,15096.0,20637.0,0.3670508744038156,20637.0,1.0,2.0,1,11,0.0,11,0,8,8,0.5720524017467249,209.0,12,27.0,16,655.0,0.4279475982532751,6.0,5.4,4.0,61.4,5.581818181818181,-1
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,50,85.0,14115,5,5,0.0,5,5,7,5,1,10.0,732.0,2.0,0.0,64.0,796.0,10,1,5.0,796,566,0,1362,1.0,0.0,1,1,1,1,5,5,10,0,1993.0,2,2.0,480.0,5,5,3,40,30,0,320,0,0,0,3,700,10,143000,390,390,166.05882352941177,3520.0,14595.0,18115.0,0.2411784857828023,18115.0,1.0,1.5,1,18,1.0,16,2,16,14,0.9195979899497488,160.0,10,25.0,14,732.0,0.08040201005025126,5.0,5.0,3.5,53.5,4.863636363636363,-1
0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20,75.0,10084,8,5,186.0,7,5,10,5,3,10.0,1369.0,2.0,0.0,317.0,1686.0,10,1,5.0,1694,0,0,1694,1.0,0.0,2,0,3,1,7,7,10,1,2004.0,3,2.0,636.0,5,5,3,255,57,0,0,0,0,0,0,0,8,307000,312,312,134.45333333333335,5074.0,10720.0,15794.0,0.473320895522388,15794.0,1.0,1.0,1,7,1.0,6,1,3,2,0.8119810201660735,212.0,12,30.0,16,1369.0,0.1880189798339265,6.0,6.0,4.0,62.0,5.636363636363638,-1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,60,69.0,10382,7,6,240.0,5,5,7,5,2,5.0,859.0,3.0,32.0,216.0,1107.0,10,1,5.0,1107,983,0,2090,1.0,0.0,2,1,3,1,5,7,10,2,1973.0,3,2.0,484.0,5,5,3,235,204,228,0,0,0,0,0,350,11,200000,667,667,129.625,5287.0,10866.0,16153.0,0.4865635928584576,16153.0,1.0,2.0,1,38,0.0,38,0,36,36,0.8048780487804879,161.33333333333334,10,22.0,16,891.0,0.1951219512195122,5.0,4.4,4.0,58.4,5.3090909090909095,-1
0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,50,51.0,6120,7,5,0.0,5,5,5,5,1,2.0,0.0,2.0,0.0,952.0,952.0,7,1,4.0,1022,752,0,1774,0.0,0.0,2,0,2,2,5,8,8,2,1931.0,2,2.0,468.0,3,5,3,90,0,205,0,0,0,0,0,0,4,129900,295,295,120.0,4500.0,6588.0,11088.0,0.6830601092896175,11088.0,1.0,1.5,1,80,1.0,61,19,77,58,0.0,156.0,10,15.0,12,0.0,1.0,5.0,3.0,3.0,49.0,4.454545454545454,-1
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,190,50.0,7420,5,6,0.0,5,5,5,5,1,10.0,851.0,2.0,0.0,140.0,991.0,10,1,5.0,1077,0,0,1077,1.0,0.0,1,0,2,2,5,5,10,2,1939.0,3,1.0,205.0,7,5,3,0,4,0,0,0,0,0,0,0,1,118000,4,4,148.4,3145.0,7625.0,10770.0,0.4124590163934426,10770.0,1.0,1.5,0,72,1.0,61,11,69,58,0.858728557013118,102.5,10,23.0,18,851.0,0.14127144298688193,5.0,4.6,4.5,57.1,5.1909090909090905,-1
